IDNOTA,IDCLIENTE,IDVENDEDOR,IDFORMA,IDPRODUTO,IDFORNECEDOR,IDTEMPO,QUANTIDADE
9712,769,3,9,46,10,74274,2
9714,358,10,9,218,34,74457,1
9716,823,15,9,28,7,74259,3
9716,823,15,9,32,6,74259,4
9718,713,9,14,140,24,74200,1
9720,254,19,22,209,30,74145,1
9722,919,15,3,219,36,74111,4
9724,286,15,10,133,13,74411,5
9726,289,3,19,146,26,74375,4
9726,289,3,19,142,24,74375,1
9728,74,12,19,52,9,74402,3
9728,74,12,19,205,31,74402,5
9728,74,12,19,82,18,74402,2
9730,179,12,23,233,11,74166,3
9732,469,21,14,128,37,74465,4
9734,986,5,23,131,25,74354,2
9734,986,5,23,146,26,74354,2
9736,759,21,23,181,39,74265,3
9736,759,21,23,17,5,74265,5
9736,759,21,23,121,22,74265,5
9738,963,3,4,142,24,74453,1
9740,655,18,25,31,6,74294,1
9760,867,21,16,105,21,74213,1
9761,433,1,22,69,13,74458,3
9762,814,4,10,12,2,74188,4
9763,82,1,18,105,21,74230,1
9764,589,23,26,75,16,74242,3
9764,589,23,26,73,15,74242,4
9765,539,17,20,3,1,74457,4
9766,568,21,20,52,9,74462,2
9766,568,21,20,200,27,74462,3
9767,990,6,20,37,8,74176,5
9768,603,22,15,48,9,74302,5
9768,603,22,15,37,8,74302,3
9769,173,18,8,99,25,74436,1
9770,876,16,10,64,12,74305,1
9771,798,8,16,186,27,74213,1
9772,798,10,4,3,1,74204,4
9773,932,18,10,132,13,74174,4
9773,932,18,10,86,18,74174,4
9773,932,18,10,137,23,74174,1
9774,873,1,20,114,41,74455,1
9775,852,23,26,4,1,74175,5
9776,126,3,11,31,6,74213,4
9777,76,12,21,203,30,74221,4
9778,569,1,7,210,31,74460,3
9779,828,18,14,228,34,74301,1
9781,574,23,18,111,25,74313,2
9781,574,23,18,23,7,74313,5
9783,772,2,13,151,22,74340,3
9783,772,2,13,203,30,74340,4
9783,772,2,13,103,13,74340,4
9785,471,1,11,112,41,74368,1
9785,471,1,11,103,13,74368,3
9787,199,20,20,198,38,74449,1
9789,307,16,8,140,24,74368,1
9791,732,2,18,224,34,74179,1
9793,562,16,14,225,34,74151,1
9795,552,10,23,158,40,74330,1
9797,960,8,3,20,4,74217,1
9799,643,17,6,94,17,74364,1
9801,607,3,3,233,11,74383,1
9803,221,7,10,56,11,74220,4
9803,221,7,10,92,17,74220,2
9805,885,16,6,64,12,74321,1
9807,516,12,24,127,37,74229,2
9809,519,9,14,82,18,74178,4
9809,519,9,14,82,18,74178,4
9811,37,11,10,70,14,74291,4
9813,580,8,9,45,10,74306,4
9813,580,8,9,50,10,74306,3
9815,264,21,9,3,1,74243,1
9817,203,23,8,175,39,74340,1
9837,899,8,1,128,37,74198,1
9838,203,10,13,151,22,74462,1
9839,314,20,8,207,31,74220,4
9840,566,15,4,224,34,74402,3
9840,566,15,4,125,23,74402,3
9840,566,15,4,194,19,74402,1
9840,566,15,4,170,13,74402,2
9840,566,15,4,31,6,74402,2
9840,566,15,4,70,14,74402,5
9841,269,16,25,119,18,74373,3
9842,223,10,19,199,20,74275,1
9843,536,13,3,52,9,74207,2
9843,536,13,3,9,22,74207,2
9844,269,22,4,193,19,74368,1
9845,770,23,4,95,21,74402,1
9846,393,12,1,178,39,74242,1
9847,842,9,24,133,13,74202,1
9848,932,3,10,52,9,74176,4
9849,520,18,14,94,17,74140,2
9850,840,7,14,161,18,74166,1
9851,5,5,19,231,36,74430,1
9851,5,5,19,215,33,74430,3
9852,255,5,16,211,31,74160,1
9853,320,18,17,49,10,74127,3
9853,320,18,17,184,14,74127,4
9854,12,23,11,41,9,74436,2
9855,15,17,12,74,16,74259,1
9856,571,13,20,170,13,74463,2
9858,813,20,20,55,9,74332,5
9858,813,20,20,27,7,74332,2
9858,813,20,20,168,13,74332,3
9860,283,23,26,114,41,74428,1
9862,497,22,17,154,40,74422,4
9864,977,4,7,154,40,74403,2
9864,977,4,7,103,13,74403,2
9866,427,15,17,6,22,74426,1
9868,30,9,12,70,14,74117,3
9868,30,9,12,110,25,74117,5
9870,611,12,23,219,36,74385,3
9870,611,12,23,29,4,74385,2
9872,472,17,4,210,31,74129,1
9874,856,5,4,155,40,74216,2
9874,856,5,4,18,6,74216,2
9876,935,22,5,75,16,74139,4
9876,935,22,5,166,14,74139,1
9878,386,11,1,97,25,74297,3
9880,868,14,17,172,25,74391,1
9882,350,6,13,130,18,74197,4
9884,179,14,10,100,25,74170,4
9886,176,5,16,135,21,74266,2
9888,854,14,17,27,7,74244,1
9890,946,9,20,164,14,74123,4
9890,946,9,20,99,25,74123,2
9892,934,10,16,201,27,74325,1
9894,502,4,3,116,41,74345,4
9914,464,2,15,18,6,74143,1
9915,891,21,4,195,27,74107,5
9915,891,21,4,127,37,74107,1
9916,410,6,19,7,22,74366,5
9916,410,6,19,108,21,74366,3
9917,858,12,23,219,36,74156,4
9917,858,12,23,214,32,74156,4
9918,226,12,15,89,23,74259,2
9919,723,17,3,12,2,74267,1
9920,795,15,21,6,22,74231,3
9920,795,15,21,40,8,74231,5
9920,795,15,21,172,25,74231,4
9921,928,20,14,49,10,74427,3
9921,928,20,14,163,18,74427,5
9921,928,20,14,187,28,74427,3
9922,695,22,18,46,10,74149,1
9923,941,4,26,173,38,74400,1
9924,711,19,20,78,17,74223,1
9925,448,24,23,86,18,74306,1
9926,767,12,14,228,34,74445,1
9927,349,24,16,212,32,74333,3
9927,349,24,16,224,34,74333,4
9927,349,24,16,226,34,74333,5
9928,306,10,2,121,22,74148,2
9929,1,16,25,108,21,74244,5
9929,1,16,25,76,16,74244,4
9930,735,3,20,201,27,74360,1
9931,38,6,25,195,27,74437,5
9932,93,6,2,161,18,74141,3
9933,273,4,1,149,26,74325,2
9935,577,2,15,174,14,74395,1
9937,38,7,24,61,12,74448,2
9939,292,9,8,162,18,74465,3
9941,78,24,11,147,26,74299,1
9943,571,1,22,158,40,74212,1
9945,623,4,15,187,28,74443,1
9947,873,24,26,142,24,74276,4
9947,873,24,26,112,41,74276,3
9949,875,18,19,119,18,74245,2
9949,875,18,19,135,21,74245,2
9951,607,17,18,131,25,74151,1
9953,313,2,19,57,11,74301,1
9955,189,3,21,195,27,74176,1
9957,465,21,13,155,40,74168,3
9957,465,21,13,31,6,74168,1
9959,138,4,25,85,18,74172,5
9961,276,6,20,157,40,74463,4
9963,959,19,11,63,12,74455,2
9965,372,6,7,47,9,74432,1
9967,376,23,1,54,9,74143,1
9969,594,5,9,107,21,74376,3
9969,594,5,9,227,34,74376,4
9971,278,9,15,78,17,74447,2
9971,278,9,15,147,26,74447,5
9991,841,14,3,18,6,74331,2
9991,841,14,3,173,38,74331,2
9992,907,19,24,55,9,74460,1
9992,907,19,24,147,26,74460,1
9993,925,19,14,177,13,74465,1
9994,453,12,17,140,24,74268,1
9995,863,16,6,125,23,74362,2
9996,766,15,15,102,13,74331,2
9996,766,15,15,6,22,74331,1
9997,566,9,23,24,7,74332,3
9998,497,9,4,37,8,74365,3
9999,184,23,13,82,18,74129,1
10000,46,20,6,91,17,74437,5
10001,13,11,16,11,22,74413,4
10001,13,11,16,198,38,74413,5
10001,13,11,16,67,13,74413,4
10002,312,24,20,98,21,74321,3
10002,312,24,20,39,8,74321,4
10002,312,24,20,46,10,74321,2
10003,179,14,1,66,13,74320,5
10004,953,17,26,182,18,74122,5
10004,953,17,26,150,16,74122,3
10005,797,18,14,5,1,74232,4
10006,431,5,11,152,21,74222,2
10007,322,4,14,204,31,74109,4
10008,617,17,26,204,31,74180,4
10008,617,17,26,50,10,74180,4
10009,195,21,9,199,20,74411,1
10010,981,2,22,121,22,74282,4
10012,135,6,10,91,17,74382,4
10014,218,15,12,212,32,74248,1
10014,218,15,12,164,14,74248,3
10016,673,6,5,167,14,74325,1
10018,240,14,16,182,18,74299,2
10018,240,14,16,94,17,74299,4
10020,833,21,19,231,36,74218,1
10022,441,6,16,143,21,74448,5
10024,744,7,5,88,23,74385,1
10026,964,9,22,40,8,74304,2
10026,964,9,22,206,31,74304,2
10026,964,9,22,19,7,74304,2
10026,964,9,22,9,22,74304,4
10028,368,1,3,134,21,74319,1
10030,417,24,8,37,8,74294,1
10032,629,14,21,43,10,74342,3
10034,455,3,12,31,6,74197,5
10034,455,3,12,47,9,74197,1
10036,760,19,18,21,4,74189,2
10038,841,4,3,110,25,74298,2
10038,841,4,3,199,20,74298,3
10038,841,4,3,142,24,74298,2
10040,448,16,6,31,6,74182,1
10042,421,14,18,66,13,74288,1
10044,832,4,9,96,25,74109,1
10046,23,6,3,142,24,74297,4
10048,778,21,14,57,11,74345,1
10068,705,11,21,166,14,74170,3
10069,664,10,23,198,38,74190,4
10070,497,19,9,150,16,74289,2
10071,136,23,13,17,5,74207,1
10072,271,23,23,153,22,74148,1
10073,499,14,14,20,4,74132,1
10074,992,2,25,225,34,74154,1
10075,242,19,9,98,21,74174,4
10076,40,3,5,62,12,74363,1
10077,153,11,25,206,31,74381,4
10078,67,8,22,105,21,74457,3
10078,67,8,22,92,17,74457,2
10079,291,11,13,172,25,74278,1
10080,616,24,16,74,16,74189,3
10081,355,6,11,185,27,74351,1
10082,711,3,12,57,11,74310,2
10082,711,3,12,82,18,74310,3
10082,711,3,12,182,18,74310,1
10083,723,1,22,7,22,74404,2
10084,765,1,9,231,36,74314,3
10084,765,1,9,127,37,74314,1
10085,856,2,2,147,26,74467,4
10086,168,15,12,112,41,74146,2
10086,168,15,12,178,39,74146,4
10087,75,11,4,220,35,74450,2
10089,927,17,12,193,19,74294,3
10091,439,20,16,19,7,74311,4
10093,405,6,19,31,6,74363,1
10095,2,11,16,81,18,74372,1
10095,2,11,16,225,34,74372,3
10097,410,24,11,170,13,74364,3
10097,410,24,11,68,13,74364,4
10099,953,21,15,18,6,74268,1
10101,373,3,3,29,4,74423,3
10101,373,3,3,126,37,74423,5
10103,722,16,15,163,18,74160,1
10105,175,24,26,150,16,74446,3
10107,819,15,2,26,6,74185,1
10109,102,4,14,114,41,74380,4
10111,438,19,7,142,24,74453,2
10113,899,18,23,118,18,74157,1
10115,608,15,19,200,27,74356,1
10117,93,8,20,26,6,74214,1
10119,321,9,23,175,39,74321,1
10121,198,1,20,158,40,74325,1
10123,745,22,6,151,22,74208,2
10125,814,16,22,122,22,74314,1
10145,729,22,11,6,22,74121,1
10146,504,15,4,111,25,74300,1
10147,708,17,9,81,18,74465,1
10148,358,6,26,185,27,74381,1
10149,954,16,26,177,13,74273,1
10150,432,9,1,4,1,74395,1
10151,765,16,1,217,34,74234,2
10151,765,16,1,215,33,74234,2
10152,636,3,2,130,18,74210,1
10153,784,13,15,78,17,74137,4
10153,784,13,15,110,25,74137,4
10154,478,3,7,62,12,74312,2
10154,478,3,7,42,9,74312,1
10155,258,6,25,130,18,74284,1
10155,258,6,25,171,13,74284,2
10155,258,6,25,103,13,74284,2
10156,939,21,17,108,21,74390,4
10156,939,21,17,60,11,74390,2
10156,939,21,17,94,17,74390,5
10157,811,3,22,68,13,74283,4
10157,811,3,22,25,5,74283,5
10158,457,4,6,212,32,74370,3
10159,730,10,10,41,9,74181,3
10159,730,10,10,78,17,74181,3
10160,590,10,7,53,9,74197,2
10160,590,10,7,26,6,74197,3
10161,734,22,21,172,25,74448,3
10161,734,22,21,178,39,74448,2
10162,957,10,19,169,13,74353,3
10163,921,16,14,139,24,74382,1
10164,233,12,24,36,8,74281,1
10166,187,8,14,14,3,74266,1
10168,201,21,12,49,10,74201,1
10170,137,1,12,45,10,74198,3
10172,457,12,13,156,40,74322,3
10172,457,12,13,39,8,74322,2
10172,457,12,13,214,32,74322,5
10174,905,4,22,108,21,74200,1
10176,933,16,9,193,19,74234,4
10178,944,20,21,37,8,74406,1
10180,635,3,17,121,22,74237,1
10182,718,15,4,159,40,74242,3
10184,146,21,8,162,18,74354,1
10186,302,8,23,5,1,74395,3
10186,302,8,23,91,17,74395,3
10188,261,8,7,39,8,74430,1
10190,31,12,26,20,4,74243,1
10192,607,5,6,108,21,74220,1
10194,512,15,25,229,35,74114,2
10196,5,1,14,98,21,74116,1
10198,929,9,21,113,41,74120,4
10198,929,9,21,60,11,74120,1
10198,929,9,21,191,19,74120,4
10200,133,11,3,150,16,74200,2
10200,133,11,3,147,26,74200,5
10200,133,11,3,7,22,74200,2
10200,133,11,3,15,3,74200,2
10200,133,11,3,162,18,74200,4
10202,648,6,2,105,21,74280,1
10222,461,10,25,14,3,74155,1
10223,129,8,10,232,36,74447,1
10224,29,8,26,10,22,74239,1
10225,285,15,19,211,31,74209,4
10226,737,6,7,72,15,74466,1
10227,427,7,26,174,14,74122,1
10228,286,4,18,207,31,74234,3
10229,8,10,11,151,22,74341,3
10230,730,17,4,151,22,74219,1
10231,731,19,13,29,4,74300,1
10232,500,24,16,203,30,74463,1
10233,648,15,18,132,13,74181,1
10234,400,22,1,7,22,74216,3
10234,400,22,1,51,9,74216,2
10234,400,22,1,10,22,74216,5
10235,69,20,9,18,6,74421,3
10236,601,23,18,79,17,74241,1
10237,698,2,25,131,25,74423,1
10238,542,15,15,125,23,74156,1
10239,984,10,26,130,18,74118,4
10239,984,10,26,44,10,74118,4
10240,614,3,10,189,29,74393,3
10241,651,3,17,64,12,74213,1
10243,639,11,14,98,21,74328,5
10243,639,11,14,230,35,74328,2
10245,220,7,7,95,21,74124,1
10247,896,7,3,10,22,74345,5
10249,920,21,20,16,4,74327,1
10251,514,3,15,147,26,74406,5
10251,514,3,15,16,4,74406,4
10253,923,3,5,156,40,74230,2
10253,923,3,5,22,5,74230,1
10253,923,3,5,80,18,74230,3
10255,966,12,8,50,10,74367,1
10257,792,14,17,191,19,74422,3
10259,109,8,23,133,13,74331,4
10261,217,23,11,146,26,74131,1
10263,726,19,16,18,6,74141,1
10265,956,11,22,163,18,74171,1
10267,56,8,20,38,8,74327,1
10267,56,8,20,198,38,74327,4
10269,836,23,1,4,1,74465,1
10271,712,1,14,113,41,74138,2
10271,712,1,14,226,34,74138,3
10273,241,16,8,125,23,74370,4
10275,53,23,17,27,7,74329,3
10275,53,23,17,41,9,74329,5
10277,405,20,16,120,18,74301,4
10277,405,20,16,171,13,74301,2
10279,473,20,16,157,40,74173,2
10299,315,17,22,73,15,74344,5
10300,596,9,24,211,31,74444,3
10300,596,9,24,183,18,74444,2
10300,596,9,24,29,4,74444,1
10300,596,9,24,75,16,74444,4
10301,620,8,1,219,36,74172,2
10301,620,8,1,165,14,74172,1
10301,620,8,1,82,18,74172,5
10301,620,8,1,78,17,74172,3
10301,620,8,1,153,22,74172,2
10302,560,23,19,53,9,74263,1
10303,655,5,20,98,21,74411,1
10304,960,9,12,2,1,74222,1
10305,357,9,5,126,37,74330,2
10305,357,9,5,49,10,74330,2
10306,156,11,11,127,37,74178,1
10307,516,22,19,231,36,74223,5
10307,516,22,19,118,18,74223,2
10308,117,9,8,179,39,74160,2
10309,287,5,17,179,39,74126,1
10310,231,24,23,125,23,74319,1
10311,490,22,15,63,12,74437,1
10312,310,18,5,20,4,74156,1
10313,701,12,11,23,7,74155,3
10313,701,12,11,191,19,74155,2
10313,701,12,11,144,26,74155,1
10314,66,16,6,31,6,74258,1
10315,865,8,18,41,9,74397,1
10316,383,9,22,17,5,74299,3
10316,383,9,22,176,25,74299,2
10317,67,20,1,139,24,74322,3
10318,878,2,20,138,24,74250,4
10318,878,2,20,109,21,74250,2
10320,207,11,17,128,37,74182,1
10322,205,13,1,150,16,74202,2
10322,205,13,1,203,30,74202,2
10324,952,7,1,81,18,74396,5
10326,711,10,20,43,10,74245,1
10328,210,19,17,209,30,74355,1
10330,141,9,14,122,22,74292,3
10330,141,9,14,103,13,74292,2
10332,819,18,19,174,14,74121,1
10334,345,21,19,6,22,74383,2
10334,345,21,19,142,24,74383,2
10336,900,13,25,63,12,74302,5
10336,900,13,25,105,21,74302,4
10338,449,14,23,158,40,74426,1
10340,933,7,22,90,17,74200,2
10340,933,7,22,164,14,74200,2
10342,70,11,9,42,9,74405,1
10344,536,10,26,227,34,74353,2
10346,411,4,4,128,37,74282,1
10348,638,24,25,157,40,74336,3
10350,307,21,13,11,22,74320,1
10352,462,13,2,11,22,74397,1
10354,68,10,22,73,15,74308,3
10356,35,17,4,71,14,74283,2
10376,552,7,23,209,30,74400,1
10377,882,20,2,63,12,74119,1
10378,960,22,5,82,18,74183,1
10378,960,22,5,194,19,74183,3
10379,222,17,23,216,33,74191,1
10380,869,12,8,107,21,74421,1
10381,22,13,25,190,28,74116,3
10381,22,13,25,106,21,74116,4
10382,892,14,17,11,22,74167,3
10382,892,14,17,102,13,74167,3
10382,892,14,17,51,9,74167,3
10383,282,9,2,21,4,74289,1
10384,451,20,8,50,10,74307,1
10384,451,20,8,104,13,74307,4
10385,457,9,7,185,27,74448,2
10385,457,9,7,93,17,74448,4
10386,770,17,8,144,26,74375,3
10387,260,17,6,110,25,74405,3
10387,260,17,6,12,2,74405,5
10388,266,7,5,65,12,74128,3
10389,609,14,13,110,25,74220,1
10390,331,20,23,39,8,74233,2
10391,854,17,18,87,23,74402,5
10391,854,17,18,135,21,74402,1
10392,897,19,16,50,10,74419,1
10393,134,3,17,76,16,74426,1
10393,134,3,17,206,31,74426,3
10394,172,21,17,64,12,74449,3
10394,172,21,17,62,12,74449,4
10395,723,20,14,204,31,74174,4
10395,723,20,14,121,22,74174,4
10397,316,22,11,102,13,74288,1
10399,75,16,10,21,4,74213,1
10401,94,19,23,165,14,74201,1
10403,594,3,10,219,36,74270,1
10405,674,2,10,200,27,74437,1
10407,782,13,23,93,17,74282,1
10409,451,21,11,13,2,74446,1
10411,443,12,3,208,31,74215,2
10411,443,12,3,198,38,74215,3
10413,937,10,7,12,2,74235,1
10415,84,18,8,44,10,74319,1
10417,177,10,2,6,22,74266,5
10419,927,23,1,64,12,74260,2
10419,927,23,1,127,37,74260,2
10421,540,21,21,190,28,74157,2
10423,161,13,13,208,31,74458,1
10425,246,14,21,178,39,74380,2
10427,560,4,17,117,41,74154,1
10429,429,7,7,24,7,74142,4
10431,585,18,14,77,16,74197,1
10433,417,2,17,77,16,74202,4
10433,417,2,17,99,25,74202,1
10453,58,24,13,30,6,74116,5
10453,58,24,13,10,22,74116,3
10454,424,24,18,159,40,74394,1
10455,952,18,5,2,1,74129,1
10456,699,17,13,44,10,74121,4
10457,581,6,4,104,13,74150,1
10458,672,19,2,179,39,74150,2
10459,877,20,25,223,33,74288,2
10459,877,20,25,173,38,74288,3
10459,877,20,25,73,15,74288,5
10460,843,10,11,233,11,74291,1
10461,18,20,2,167,14,74325,1
10462,419,23,15,96,25,74149,1
10463,514,13,9,178,39,74234,1
10464,335,1,10,143,21,74119,4
10465,476,6,2,66,13,74368,1
10466,263,18,9,91,17,74238,4
10466,263,18,9,14,3,74238,1
10467,517,2,14,45,10,74242,1
10468,973,2,20,84,18,74121,3
10469,687,17,10,181,39,74266,1
10470,545,6,17,4,1,74341,1
10471,984,12,26,179,39,74253,1
10472,927,5,19,68,13,74296,3
10474,421,15,10,20,4,74324,1
10476,340,22,15,160,18,74203,2
10478,199,12,25,87,23,74366,4
10480,927,6,8,197,20,74314,2
10480,927,6,8,85,18,74314,4
10482,290,17,11,128,37,74203,1
10482,290,17,11,152,21,74203,3
10484,741,5,25,100,25,74214,2
10484,741,5,25,214,32,74214,1
10486,65,1,4,106,21,74217,5
10488,123,14,11,87,23,74433,4
10490,685,21,17,40,8,74374,1
10492,824,11,10,86,18,74383,3
10492,824,11,10,180,39,74383,2
10494,572,24,7,67,13,74360,2
10494,572,24,7,207,31,74360,4
10496,539,12,23,121,22,74263,2
10498,79,6,20,67,13,74278,1
10500,441,20,7,167,14,74337,1
10502,63,8,26,199,20,74326,1
10504,814,20,17,62,12,74311,2
10504,814,20,17,136,23,74311,4
10506,605,1,21,191,19,74303,1
10508,996,11,1,105,21,74237,2
10510,448,18,14,195,27,74150,1
10530,357,3,13,193,19,74122,1
10531,604,15,20,202,38,74422,1
10532,505,4,16,192,29,74162,1
10533,745,10,4,194,19,74324,4
10533,745,10,4,175,39,74324,5
10534,164,3,13,67,13,74160,1
10535,236,9,10,125,23,74127,1
10536,270,7,14,229,35,74124,2
10536,270,7,14,57,11,74124,4
10536,270,7,14,30,6,74124,1
10537,731,4,21,93,17,74171,3
10538,340,3,17,68,13,74192,3
10539,922,13,11,216,33,74398,1
10540,156,10,16,210,31,74383,1
10541,297,8,1,149,26,74230,3
10541,297,8,1,229,35,74230,5
10541,297,8,1,57,11,74230,2
10542,537,6,3,18,6,74421,1
10543,206,12,8,36,8,74329,4
10544,407,8,2,144,26,74301,1
10545,774,23,24,69,13,74404,5
10546,147,11,13,179,39,74373,1
10546,147,11,13,201,27,74373,2
10546,147,11,13,175,39,74373,3
10547,566,1,1,89,23,74459,2
10548,195,5,3,214,32,74331,1
10549,899,22,12,209,30,74355,3
10551,397,7,1,176,25,74184,2
10553,982,5,4,26,6,74344,3
10553,982,5,4,201,27,74344,2
10553,982,5,4,167,14,74344,2
10555,78,23,12,130,18,74213,3
10557,604,8,18,24,7,74383,5
10557,604,8,18,36,8,74383,4
10559,394,10,19,100,25,74381,2
10559,394,10,19,201,27,74381,5
10561,381,18,20,226,34,74313,3
10563,732,4,8,47,9,74263,1
10565,940,20,23,188,28,74386,4
10567,156,4,19,142,24,74274,2
10569,15,7,23,199,20,74441,4
10571,892,11,18,175,39,74253,1
10573,136,22,10,146,26,74223,3
10573,136,22,10,96,25,74223,3
10575,441,10,3,191,19,74328,1
10577,247,5,18,159,40,74275,1
10579,799,24,4,96,25,74332,4
10579,799,24,4,149,26,74332,4
10581,277,19,23,111,25,74117,1
10583,959,11,25,94,17,74200,3
10583,959,11,25,45,10,74200,4
10585,958,9,9,217,34,74209,3
10585,958,9,9,67,13,74209,4
10587,756,11,1,233,11,74264,3
10587,756,11,1,37,8,74264,5
10607,743,19,1,12,2,74124,4
10608,257,22,11,12,2,74197,1
10609,25,19,5,46,10,74282,1
10610,897,20,17,182,18,74383,1
10611,124,7,25,232,36,74350,4
10612,247,5,12,11,22,74467,3
10613,717,17,5,45,10,74442,1
10614,194,21,6,44,10,74341,1
10615,829,15,23,65,12,74327,3
10616,637,17,18,54,9,74392,1
10617,167,1,6,27,7,74166,1
10618,175,7,21,191,19,74364,1
10619,908,1,7,18,6,74277,1
10620,157,13,25,136,23,74126,1
10621,686,7,1,126,37,74416,4
10621,686,7,1,85,18,74416,1
10622,352,16,2,172,25,74175,1
10623,886,8,16,150,16,74450,4
10624,304,6,8,134,21,74452,2
10625,820,21,16,196,19,74149,2
10625,820,21,16,227,34,74149,4
10626,311,9,1,191,19,74304,2
10628,358,10,11,203,30,74201,3
10630,116,23,22,6,22,74111,1
10632,108,13,20,60,11,74465,2
10634,899,22,20,130,18,74142,1
10636,815,1,8,40,8,74307,1
10638,96,24,20,141,24,74451,1
10640,588,14,2,233,11,74124,3
10640,588,14,2,193,19,74124,3
10640,588,14,2,59,11,74124,5
10640,588,14,2,154,40,74124,5
10642,863,16,10,1,1,74282,1
10644,942,10,8,180,39,74284,1
10646,699,4,10,146,26,74148,4
10648,284,2,21,47,9,74463,3
10648,284,2,21,77,16,74463,2
10650,208,24,22,222,33,74399,1
10652,766,17,20,175,39,74243,1
10654,522,21,1,173,38,74242,1
10656,637,1,24,100,25,74166,3
10658,182,15,1,173,38,74352,4
10660,19,21,24,149,26,74365,4
10660,19,21,24,16,4,74365,3
10662,524,7,26,227,34,74432,1
10664,751,3,13,140,24,74299,3
10684,64,19,2,10,22,74150,2
10685,366,7,24,225,34,74321,2
10685,366,7,24,69,13,74321,4
10686,611,22,9,12,2,74263,4
10687,969,10,24,152,21,74163,4
10687,969,10,24,99,25,74163,3
10688,930,14,1,88,23,74148,5
10689,354,3,15,226,34,74150,1
10690,437,24,18,68,13,74242,1
10691,178,11,10,126,37,74222,1
10692,772,9,24,115,41,74295,1
10693,242,18,18,52,9,74418,3
10693,242,18,18,154,40,74418,1
10694,982,13,18,175,39,74229,1
10695,736,24,26,216,33,74176,1
10696,990,8,8,11,22,74258,4
10696,990,8,8,197,20,74258,4
10696,990,8,8,143,21,74258,4
10697,515,13,12,206,31,74129,2
10697,515,13,12,72,15,74129,4
10697,515,13,12,61,12,74129,2
10698,45,1,8,64,12,74454,1
10699,419,15,20,191,19,74314,3
10700,132,13,9,202,38,74259,1
10701,111,24,20,28,7,74208,4
10701,111,24,20,90,17,74208,3
10702,66,3,6,69,13,74280,3
10702,66,3,6,141,24,74280,2
10703,631,3,24,80,18,74362,1
10705,956,17,2,161,18,74176,1
10707,675,16,14,124,23,74151,3
10709,284,6,13,19,7,74323,2
10709,284,6,13,113,41,74323,5
10709,284,6,13,3,1,74323,4
10709,284,6,13,30,6,74323,2
10711,661,7,8,129,37,74169,1
10713,905,15,9,154,40,74183,4
10715,419,8,22,160,18,74338,4
10715,419,8,22,60,11,74338,3
10715,419,8,22,129,37,74338,3
10715,419,8,22,181,39,74338,3
10715,419,8,22,224,34,74338,1
10717,121,1,10,108,21,74343,5
10717,121,1,10,81,18,74343,2
10719,797,4,25,123,22,74167,1
10721,69,11,3,115,41,74288,1
10723,368,12,5,182,18,74126,1
10725,204,5,3,86,18,74160,3
10727,366,5,21,53,9,74368,2
10729,984,11,26,22,5,74449,1
10731,162,23,18,205,31,74240,2
10733,445,19,23,225,34,74451,2
10735,534,13,23,161,18,74201,1
10737,187,6,9,119,18,74360,1
10739,964,2,26,87,23,74154,5
10739,964,2,26,189,29,74154,2
10741,743,11,25,43,10,74235,4
10761,699,15,6,228,34,74326,4
10762,534,19,18,8,22,74250,5
10762,534,19,18,14,3,74250,3
10763,806,23,11,143,21,74463,2
10763,806,23,11,184,14,74463,4
10764,375,8,17,169,13,74419,1
10765,925,13,14,169,13,74389,1
10766,185,8,21,164,14,74267,1
10767,559,3,1,129,37,74180,3
10768,828,24,14,129,37,74145,5
10769,294,11,7,144,26,74187,1
10770,653,3,14,126,37,74290,1
10771,432,18,24,89,23,74423,1
10772,118,12,12,112,41,74173,3
10773,774,8,23,218,34,74239,5
10773,774,8,23,60,11,74239,2
10773,774,8,23,195,27,74239,2
10774,225,2,7,188,28,74172,1
10775,957,5,6,106,21,74280,1
10776,370,5,14,216,33,74170,3
10777,252,9,2,203,30,74181,2
10778,326,1,13,151,22,74459,1
10779,526,1,14,82,18,74177,4
10779,526,1,14,231,36,74177,5
10780,899,24,19,205,31,74167,4
10782,848,19,25,78,17,74220,1
10784,660,13,20,57,11,74189,1
10786,956,15,12,119,18,74281,1
10788,106,17,12,41,9,74176,5
10788,106,17,12,91,17,74176,3
10790,406,3,19,87,23,74332,1
10792,995,10,15,168,13,74433,1
10794,339,23,14,159,40,74420,1
10796,17,7,2,35,7,74336,3
10798,764,4,12,147,26,74127,1
10800,918,4,20,10,22,74324,5
10802,408,16,17,60,11,74153,1
10804,311,13,4,11,22,74179,1
10806,987,4,11,136,23,74395,2
10808,417,5,6,163,18,74338,3
10810,528,10,5,60,11,74140,3
10810,528,10,5,60,11,74140,4
10810,528,10,5,97,25,74140,2
10810,528,10,5,210,31,74140,3
10812,819,3,15,211,31,74460,1
10814,797,6,13,86,18,74413,1
10816,946,24,13,104,13,74242,4
10816,946,24,13,68,13,74242,4
10818,467,23,12,79,17,74344,2
10818,467,23,12,110,25,74344,2
10838,282,6,16,37,8,74235,4
10838,282,6,16,161,18,74235,4
10838,282,6,16,122,22,74235,3
10839,821,22,4,170,13,74356,1
10840,539,24,26,5,1,74432,2
10841,571,5,13,193,19,74465,1
10842,127,22,8,98,21,74353,5
10843,649,10,15,115,41,74132,4
10843,649,10,15,48,9,74132,2
10844,321,15,11,137,23,74363,1
10845,746,3,10,20,4,74354,4
10846,966,12,17,152,21,74293,5
